phot_g_mean_mag,bp_rp
17.175667,1.2500916
15.964472,1.3515015
16.076223,1.2951946
16.752178,1.2483006
16.071722,1.2977543
17.995367,
16.566761,1.253252
19.230667,1.6569805
17.557186,1.262106
17.082182,1.2784023
16.503874,1.3341684
18.162338,1.4105873
16.819727,1.2472038
17.66794,1.3937607
18.337538,1.4725609
16.938187,1.2835865
17.361687,1.2268066
19.8512,1.898304
18.734072,1.3940392
17.92521,1.3616142
18.311348,1.4830608
17.096416,1.2922192
19.073845,
15.988346,1.3961849
14.904312,1.5594053
16.061954,1.4017334
17.478846,1.3425083
19.845934,
15.689772,1.4623013
16.204393,1.470295
12.621071,1.7482576
16.168129,1.4633675
17.669735,1.4355679
18.822115,1.5849876
17.69806,1.373167
20.053686,
16.384554,1.340725
16.357159,1.3245268
19.133379,1.6771069
16.340397,1.2457895
18.61362,1.4087563
18.337503,1.6565762
17.409376,1.4538116
18.058786,1.3544254
14.675469,1.5198898
18.231924,1.3836517
18.268856,
16.975073,1.2315426
17.79908,1.3277779
19.47593,1.9595051
20.394163,
17.040007,1.4146442
17.907244,1.5351238
16.962383,1.3185291
19.590443,1.7836838
18.670395,1.567503
17.58621,1.3134251
19.716831,1.8068848
17.242893,1.2943974
18.105566,1.4130516
18.765879,1.4044971
16.102375,1.3020821
18.89072,1.4879818
18.751347,1.5946293
16.712734,1.242218
16.30486,1.2916288
16.27757,1.259902
17.958815,1.4368229
16.784903,1.2894573
15.895283,1.4232779
17.571619,1.3547916
17.707176,1.3751602
16.61196,1.2697372
13.244614,1.0382376
17.793756,1.3765793
19.946283,1.788477
17.797276,1.3735714
17.925161,1.4120502
16.255747,1.2899885
19.392395,1.8728924
19.068369,
20.614426,1.8956547
18.16865,1.4753494
17.97506,1.4337711
16.613167,1.3559847
17.257801,1.319912
19.326405,1.8666649
19.309664,1.7056007
17.508183,1.3217983
18.705276,1.5571747
17.36971,1.3096123
16.747812,1.2679749
17.444147,1.3521404
17.811186,1.4205666
16.773039,1.3084393
16.143682,1.3720474
17.263971,1.3446217
16.819891,1.2611389
17.235224,1.3105526
18.862295,1.5576458
18.91417,1.5812664
16.740751,1.1831322
17.63311,1.3865128
16.788006,1.210844
16.946545,1.2108898
16.694393,1.1965942
17.67337,1.2797489
16.447803,1.1793423
20.072832,
19.555258,1.7412071
18.577812,1.3976974
17.14521,1.2061291
17.462181,1.2464466
18.56374,1.5066433
17.341698,1.2370491
16.723375,1.1977158
19.634565,1.8028469
17.97402,1.3236675
15.663482,1.3979282
14.009604,1.4920053
15.61415,1.3504314
19.351713,1.7242756
17.97928,1.35713
16.097717,1.2307281
19.893236,1.9361343
17.526188,1.248497
17.105814,1.3858261
17.734869,1.3576298
16.925047,1.1822338
16.582905,1.1728096
17.614473,1.2720528
17.574179,1.2524624
16.016596,1.1841516
17.223314,1.1964893
15.164494,1.5119543
18.619858,1.5102768
19.399712,1.7148628
17.11721,1.2912865
17.188486,1.2666798
16.789236,1.2500896
19.264698,1.7958126
18.128132,1.4001427
17.554401,1.3054905
17.775034,1.3344803
18.260265,1.371685
18.371088,1.457365
18.476225,1.4580059
20.393963,1.6965504
19.686161,1.8880043
16.905672,1.2217865
17.089611,1.248846
18.710602,1.4750671
16.5173,1.2514353
17.692677,
16.461868,1.2721148
16.616564,1.28825
17.544363,1.3033905
17.496927,1.3333759
18.58651,1.4967613
16.384453,1.2918835
16.094536,1.3531685
17.307468,1.277462
19.429197,1.753706
17.42926,1.3015995
19.042507,1.6691132
18.611195,1.5039501
17.121347,1.345665
19.374208,1.8460293
16.824665,1.224556
16.521973,1.2365503
15.91225,1.3016472
16.993525,1.2490349
16.73108,1.2827454
19.544724,1.7071457
16.384426,1.2363968
16.34373,1.2327166
14.977841,1.4730196
16.385527,1.2743435
18.003782,1.3821507
18.552252,1.5265713
13.388527,1.5710716
17.896421,1.376339
17.179876,1.2563248
18.12169,1.4655895
15.088174,1.4636793
17.721031,1.3122158
13.068181,1.3030176
17.6829,1.3391495
16.781828,1.2243652
20.440271,1.8932171
16.70626,1.237318
17.250872,1.262476
19.56867,1.7586136
20.40162,1.8661861
16.623697,1.2384453
19.048565,1.5886955
17.61947,1.3265457
16.071976,1.2976809
16.899513,1.3130207
16.682833,1.2948046
19.05503,1.6327038
16.304613,1.2832689
18.12368,1.4550552
17.569954,1.3190231
17.715313,1.3166637
16.123133,1.2874575
16.47586,1.2714767
17.930862,1.4086704
18.140495,1.3813324
13.21286,1.1321516
16.742292,1.2773151
18.970236,1.7310925
17.127506,1.3171196
19.849535,1.7254143
16.71539,1.2554913
16.74866,1.2615318
19.341116,1.6329498
17.958805,
17.935823,1.3794193
17.92428,1.4026794
17.202942,1.2831993
18.453316,1.4813328
17.197805,1.456047
18.913921,
16.970728,1.304081
16.800577,1.3435392
18.487064,1.5077152
16.353468,1.251998
18.557701,1.4841747
18.273502,1.3857098
18.019667,
16.247639,1.2977476
13.297961,1.6271362
17.088491,1.2606983
16.581322,1.283925
17.240816,1.3575935
11.4657135,1.8297005
18.413502,1.4269104
16.356913,1.2618856
17.655039,1.337326
16.87751,1.1994629
20.489582,
17.425158,1.3405781
18.208302,1.4823761
17.404531,1.2951832
18.23133,1.4244499
16.66288,1.2366848
18.092451,1.3774033
17.101475,1.2931852
17.027208,1.2594261
18.774042,
16.984058,1.3547096
16.242294,1.3053131
17.064146,1.3184814
16.242065,1.3100443
17.663399,1.38447
19.707813,1.7777939
17.998354,
16.339275,1.3404579
17.222652,1.3010712
18.20099,
17.99543,
16.435207,1.3681974
13.179115,1.3102732
15.986152,1.4718676
18.581285,1.573803
17.734125,1.2786617
16.63618,1.2500763
18.327293,1.6039429
18.73174,1.340189
19.30629,
17.84584,
16.091927,1.3666182
17.233955,1.3050156
16.693985,1.2419443
16.163754,1.25142
16.303274,1.2406864
17.58306,
16.521149,1.222785
19.317291,1.5333252
13.771704,1.5403614
17.79434,1.31353
16.6644,1.205822
16.062033,1.2211895
16.918535,1.2887478
17.166683,1.2863884
17.607718,1.4977465
16.673775,1.2292461
18.046253,1.7434444
18.512968,
16.936499,
