phot_g_mean_mag,bp_rp
17.266972,0.9214077
16.403706,0.8494539
18.620834,1.2527885
17.844316,1.0265656
17.73576,1.0011044
14.971642,1.1138353
17.822739,0.9748421
17.970737,1.0106583
15.095845,1.0829763
17.75759,0.9899006
16.550276,0.88798714
18.227055,1.0396214
19.182737,1.2772598
19.531353,1.3455887
16.716805,0.94605064
18.55572,1.1463242
19.332815,1.3908997
17.262928,0.9228153
17.63289,1.0249863
19.529175,1.3760262
18.702257,1.241642
19.488459,1.4100361
15.266489,0.99801636
16.917469,0.8907833
18.151766,1.0261993
17.355122,0.93548965
16.784536,0.905653
13.585033,1.1973858
17.873621,1.0229588
18.64939,1.1927814
17.903973,1.0064373
19.224415,1.3393002
18.771778,1.2248116
19.542717,1.2999554
17.474348,0.9519901
19.611177,1.27672
19.264095,1.0819836
13.523331,0.2824707
17.74959,1.0034122
15.100897,0.4942484
13.799916,1.1875601
18.796572,1.2367153
18.568747,1.1366844
17.310352,0.91049767
18.641788,1.133501
17.940395,1.0159779
18.342419,1.0901127
18.593721,1.138916
19.392925,0.9330883
16.613264,0.88264847
16.284327,0.8654156
17.283186,0.93671227
18.691132,1.1374836
18.428183,1.1142979
18.015703,1.1232586
17.212488,0.91482735
16.419998,0.8577204
19.828281,1.4775162
16.617847,0.86177635
18.771418,1.1789513
15.970316,0.89228725
14.969918,1.0785637
18.296938,1.0706444
19.764227,1.2873516
17.420906,0.902483
18.342562,1.0896358
18.381283,1.1103859
15.690768,0.9380264
19.702118,
16.029207,0.8427658
18.305544,1.0980549
18.875961,1.2372322
18.592714,1.146862
18.07937,1.07687
18.887075,1.1352558
17.854319,0.9899235
16.057083,0.87157154
18.049482,1.0265675
18.854511,1.23983
19.788134,1.6006241
19.449175,1.3676624
16.55354,0.8674221
17.014446,0.8646946
19.502745,1.4143276
17.30423,0.89513016
17.754963,0.99669456
19.07722,1.2760925
17.442705,0.9319458
13.369188,0.28870487
18.684221,1.2251015
19.340271,1.2658863
16.949049,0.8907051
18.875416,1.2140884
16.89868,0.8934841
18.082636,1.0299091
17.752443,0.9823246
16.10747,0.8833561
15.746325,0.948514
17.345778,0.9180889
19.388506,1.232048
17.04828,0.8848877
17.671387,0.9955101
17.681906,0.978878
19.055079,1.3391418
18.42336,1.1029739
18.210676,1.1315613
16.758965,0.9099922
16.194914,0.8168974
17.841536,0.9475517
17.051336,0.86982346
19.789076,1.5461636
18.723686,1.1075993
16.71489,0.8670025
